SentimentDate,Subject,AvgRawSentiment,NormalizedSentimentScore
2024-09-13,dianne feinstein,,
2024-09-13,laphonza butler,,
2024-09-14,ben sasse,,
2024-09-15,ben sasse,,
2024-09-15,evan bayh,,
2024-09-15,john hickenlooper,,
2024-09-16,dianne feinstein,,
2024-09-16,james lankford,,
2024-09-16,kyrsten sinema,,
2024-09-16,pete ricketts,,
2024-09-17,ben sasse,,
2024-09-17,dianne feinstein,,
2024-09-17,evan bayh,,
2024-09-17,jerry moran,,
2024-09-17,john barrasso,,
2024-09-17,kyrsten sinema,,
2024-09-17,pete ricketts,,
2024-09-18,charles grassley,,
2024-09-18,dianne feinstein,,
2024-09-18,evan bayh,,
2024-09-18,jerry moran,,
2024-09-18,john barrasso,,
2024-09-18,kyrsten sinema,,
2024-09-19,alex mooney,,
2024-09-19,dianne feinstein,,
2024-09-19,evan bayh,,
2024-09-19,pete ricketts,,
2024-09-20,dianne feinstein,,
2024-09-20,john barrasso,,
2024-09-20,pete ricketts,,
2024-09-21,dianne feinstein,,
2024-09-21,jerry moran,,
2024-09-21,ted budd,,
2024-09-22,kyrsten sinema,,
2024-09-22,ted budd,,
2024-09-23,ben sasse,,
2024-09-23,john hickenlooper,,
2024-09-23,pete ricketts,,
2024-09-23,ted budd,,
2024-09-24,ben sasse,,
2024-09-24,dianne feinstein,,
2024-09-24,jerry moran,,
2024-09-24,john hickenlooper,,
2024-09-24,kyrsten sinema,,
2024-09-24,pete ricketts,,
2024-09-24,ted budd,,
2024-09-25,dianne feinstein,,
2024-09-25,james lankford,,
2024-09-25,kyrsten sinema,,
2024-09-25,maria cantwell,,
2024-09-25,ted budd,,
2024-09-26,james lankford,,
2024-09-26,jerry moran,,
2024-09-26,john hickenlooper,,
2024-09-26,kyrsten sinema,,
2024-09-27,james lankford,,
2024-09-27,jerry moran,,
2024-09-28,alex mooney,,
2024-09-28,james lankford,,
2024-09-28,jerry moran,,
2024-09-28,john hickenlooper,,
2024-09-28,lincoln chafee,,
2024-09-29,ben sasse,,
2024-09-29,jerry moran,,
2024-09-29,john barrasso,,
2024-09-29,laphonza butler,,
2024-09-30,ben sasse,,
2024-09-30,jerry moran,,
2024-09-30,maria cantwell,,
2024-09-30,roger wicker,,
2024-10-01,james lankford,,
2024-10-01,jerry moran,,
2024-10-01,kyrsten sinema,,
2024-10-01,laphonza butler,,
2024-10-01,maria cantwell,,
2024-10-01,roger wicker,,
2024-10-02,ben sasse,,
2024-10-02,jerry moran,,
2024-10-02,roger wicker,,
2024-10-03,dianne feinstein,,
2024-10-03,james lankford,,
2024-10-03,jerry moran,,
2024-10-03,john hickenlooper,,
2024-10-03,roger wicker,,
2024-10-03,ted budd,,
2024-10-04,jerry moran,,
2024-10-04,kyrsten sinema,,
2024-10-04,ted budd,,
2024-10-05,alex mooney,,
2024-10-05,maria cantwell,,
2024-10-05,ted budd,,
2024-10-06,laphonza butler,,
2024-10-06,maria cantwell,,
2024-10-06,roger wicker,,
2024-10-07,alex mooney,,
2024-10-07,jerry moran,,
2024-10-07,john barrasso,,
2024-10-07,laphonza butler,,
2024-10-07,maria cantwell,,
2024-10-07,roger wicker,,
2024-10-07,ted budd,,
2024-10-08,alex mooney,,
2024-10-08,dianne feinstein,,
2024-10-08,john barrasso,,
2024-10-08,ted budd,,
2024-10-09,dianne feinstein,,
2024-10-09,james lankford,,
2024-10-09,jerry moran,,
2024-10-09,kyrsten sinema,,
2024-10-09,pete ricketts,,
2024-10-10,deb fischer,,
2024-10-10,dianne feinstein,,
2024-10-10,john barrasso,,
2024-10-10,pete ricketts,,
2024-10-10,ted budd,,
2024-10-11,ben sasse,,
2024-10-11,deb fischer,,
2024-10-11,dianne feinstein,,
2024-10-11,pete ricketts,,
2024-10-11,ted budd,,
2024-10-12,dianne feinstein,,
2024-10-12,jerry moran,,
2024-10-12,laphonza butler,,
2024-10-12,ted budd,,
2024-10-13,ben sasse,,
2024-10-13,deb fischer,,
2024-10-13,dianne feinstein,,
2024-10-13,john hickenlooper,,
2024-10-13,ted budd,,
2024-10-14,deb fischer,,
2024-10-14,john hickenlooper,,
2024-10-14,ted budd,,
2024-10-15,ben sasse,,
2024-10-15,deb fischer,,
2024-10-15,jerry moran,,
2024-10-15,kyrsten sinema,,
2024-10-15,ted budd,,
2024-10-16,ben sasse,,
2024-10-16,deb fischer,,
2024-10-16,dianne feinstein,,
2024-10-16,evan bayh,,
2024-10-16,jerry moran,,
2024-10-16,kyrsten sinema,,
2024-10-16,pete ricketts,,
2024-10-16,ted budd,,
2024-10-17,charles grassley,,
2024-10-17,deb fischer,,
2024-10-17,dianne feinstein,,
2024-10-17,evan bayh,,
2024-10-17,james lankford,,
2024-10-17,jerry moran,,
2024-10-17,pete ricketts,,
2024-10-18,deb fischer,,
2024-10-18,dianne feinstein,,
2024-10-18,james lankford,,
2024-10-18,john hickenlooper,,
2024-10-18,maria cantwell,,
2024-10-18,pete ricketts,,
2024-10-18,roger wicker,,
2024-10-18,ted budd,,
2024-10-19,deb fischer,,
2024-10-19,dianne feinstein,,
2024-10-19,james lankford,,
2024-10-19,john hickenlooper,,
2024-10-19,kyrsten sinema,,
2024-10-20,deb fischer,,
2024-10-20,dianne feinstein,,
2024-10-20,john hickenlooper,,
2024-10-20,lincoln chafee,,
2024-10-20,maria cantwell,,
2024-10-20,mazie hirono,,
2024-10-20,pete ricketts,,
2024-10-21,deb fischer,,
2024-10-21,dianne feinstein,,
2024-10-21,jerry moran,,
2024-10-21,john barrasso,,
2024-10-21,kyrsten sinema,,
2024-10-21,lincoln chafee,,
2024-10-21,maria cantwell,,
2024-10-21,mazie hirono,,
2024-10-22,ben sasse,,
2024-10-22,deb fischer,,
2024-10-22,dianne feinstein,,
2024-10-22,jerry moran,,
2024-10-22,john barrasso,,
2024-10-22,maria cantwell,,
2024-10-22,mazie hirono,,
2024-10-23,evan bayh,,
2024-10-23,maria cantwell,,
2024-10-23,mazie hirono,,
2024-10-23,roger wicker,,
2024-10-24,ben sasse,,
2024-10-24,deb fischer,,
2024-10-24,dianne feinstein,,
2024-10-24,evan bayh,,
2024-10-24,jerry moran,,
2024-10-24,john barrasso,,
2024-10-24,maria cantwell,,
2024-10-24,pete ricketts,,
2024-10-25,ben sasse,,
2024-10-25,deb fischer,,
2024-10-25,dianne feinstein,,
2024-10-25,james lankford,,
2024-10-25,john barrasso,,
2024-10-25,jon tester,,
2024-10-25,maria cantwell,,
2024-10-25,mazie hirono,,
2024-10-25,pete ricketts,,
2024-10-26,deb fischer,,
2024-10-26,dianne feinstein,,
2024-10-26,james lankford,,
2024-10-26,jon tester,,
2024-10-26,pete ricketts,,
2024-10-26,ted budd,,
2024-10-27,chris coons,,
2024-10-27,deb fischer,,
2024-10-27,dianne feinstein,,
2024-10-27,james lankford,,
2024-10-27,jim risch,,
2024-10-27,john barrasso,,
2024-10-27,jon tester,,
2024-10-27,maria cantwell,,
2024-10-27,pete ricketts,,
2024-10-27,ted budd,,
2024-10-28,alex mooney,,
2024-10-28,ben sasse,,
2024-10-28,deb fischer,,
2024-10-28,dianne feinstein,,
2024-10-28,jerry moran,,
2024-10-28,jim risch,,
2024-10-28,jon tester,,
2024-10-28,pete ricketts,,
2024-10-28,roger wicker,,
2024-10-28,ted budd,,
2024-10-29,alex mooney,,
2024-10-29,deb fischer,,
2024-10-29,jerry moran,,
2024-10-29,jon tester,,
2024-10-29,maria cantwell,,
2024-10-29,pete ricketts,,
2024-10-30,deb fischer,,
2024-10-30,evan bayh,,
2024-10-30,jon tester,,
2024-10-30,kyrsten sinema,,
2024-10-31,deb fischer,,
2024-10-31,evan bayh,,
2024-10-31,jerry moran,,
2024-10-31,jon tester,,
2024-10-31,kyrsten sinema,,
2024-10-31,ted budd,,
2024-11-01,deb fischer,,
2024-11-01,jacky rosen,,
2024-11-01,jerry moran,,
2024-11-01,jon tester,,
2024-11-01,mazie hirono,,
2024-11-01,ted budd,,
2024-11-02,ben sasse,,
2024-11-02,deb fischer,,
2024-11-02,jacky rosen,,
2024-11-02,jerry moran,,
2024-11-02,jon tester,,
2024-11-02,kyrsten sinema,,
2024-11-02,mazie hirono,,
2024-11-02,roger wicker,,
2024-11-02,ted budd,,
2024-11-03,deb fischer,,
2024-11-03,dianne feinstein,,
2024-11-03,jacky rosen,,
2024-11-03,james lankford,,
2024-11-03,john hickenlooper,,
2024-11-03,jon tester,,
2024-11-03,kyrsten sinema,,
2024-11-03,mazie hirono,,
2024-11-03,roger wicker,,
2024-11-04,ben sasse,,
2024-11-04,deb fischer,,
2024-11-04,dianne feinstein,,
2024-11-04,jacky rosen,,
2024-11-04,jerry moran,,
2024-11-04,john hickenlooper,,
2024-11-04,jon tester,,
2024-11-04,kyrsten sinema,,
2024-11-04,mazie hirono,,
2024-11-04,roger wicker,,
2024-11-05,ben sasse,,
2024-11-05,deb fischer,,
2024-11-05,dianne feinstein,,
2024-11-05,jacky rosen,,
2024-11-05,jerry moran,,
2024-11-05,jon tester,,
2024-11-05,kyrsten sinema,,
2024-11-05,laphonza butler,,
2024-11-05,lincoln chafee,,
2024-11-05,maria cantwell,,
2024-11-05,mazie hirono,,
2024-11-05,roger wicker,,
2024-11-05,ted budd,,
2024-11-06,deb fischer,,
2024-11-06,dianne feinstein,,
2024-11-06,jacky rosen,,
2024-11-06,jerry moran,,
2024-11-06,jon tester,,
2024-11-06,lincoln chafee,,
2024-11-06,pete ricketts,,
2024-11-06,roger wicker,,
2024-11-06,ted budd,,
2024-11-07,deb fischer,,
2024-11-07,frank lautenberg,,
2024-11-07,jacky rosen,,
2024-11-07,jon tester,,
2024-11-07,pete ricketts,,
2024-11-07,ted budd,,
2024-11-08,chris coons,,
2024-11-08,jacky rosen,,
2024-11-08,james lankford,,
2024-11-08,john barrasso,,
2024-11-08,jon tester,,
2024-11-08,kyrsten sinema,,
2024-11-08,ted budd,,
2024-11-09,cindy hyde-smith,,
2024-11-09,deb fischer,,
2024-11-09,evan bayh,,
2024-11-09,jacky rosen,,
2024-11-09,jon tester,,
2024-11-09,lincoln chafee,,
2024-11-09,pete ricketts,,
2024-11-09,roger wicker,,
2024-11-09,ted budd,,
2024-11-10,ben sasse,,
2024-11-10,deb fischer,,
2024-11-10,dianne feinstein,,
2024-11-10,evan bayh,,
2024-11-10,jacky rosen,,
2024-11-10,james lankford,,
2024-11-10,john hickenlooper,,
2024-11-10,jon tester,,
2024-11-10,martin heinrich,,
2024-11-10,ted budd,,
2024-11-11,deb fischer,,
2024-11-11,jacky rosen,,
2024-11-11,jerry moran,,
2024-11-11,john hickenlooper,,
2024-11-11,jon tester,,
2024-11-12,alex mooney,,
2024-11-12,deb fischer,,
2024-11-12,jacky rosen,,
2024-11-12,james lankford,,
2024-11-12,jerry moran,,
2024-11-12,john barrasso,,
2024-11-12,jon tester,,
2024-11-12,roger wicker,,
2024-11-13,cindy hyde-smith,,
2024-11-13,jacky rosen,,
2024-11-13,james lankford,,
2024-11-13,john barrasso,,
2024-11-13,john hickenlooper,,
2024-11-13,lincoln chafee,,
2024-11-13,maria cantwell,,
2024-11-13,martin heinrich,,
2024-11-13,roger wicker,,
2024-11-14,alex mooney,,
2024-11-14,ben sasse,,
2024-11-14,chris coons,,
2024-11-14,cindy hyde-smith,,
2024-11-14,jacky rosen,,
2024-11-14,james lankford,,
2024-11-14,john hickenlooper,,
2024-11-14,jon tester,,
2024-11-14,kyrsten sinema,,
2024-11-14,maria cantwell,,
2024-11-14,martin heinrich,,
2024-11-15,alex mooney,,
2024-11-15,ben sasse,,
2024-11-15,charles grassley,,
2024-11-15,james lankford,,
2024-11-15,jon tester,,
2024-11-15,maria cantwell,,
2024-11-15,martin heinrich,,
2024-11-16,chris coons,,
2024-11-16,jacky rosen,,
2024-11-16,john barrasso,,
2024-11-16,jon tester,,
2024-11-16,kyrsten sinema,,
2024-11-16,martin heinrich,,
2024-11-17,bob corker,,
